label,workload,rep,ttft_s,decode_s,wall_s,pp_tokens,tg_tokens,pp_tps,tg_tps,out_chars,error
oMLX-SpecPrefill-26B,PP_heavy,1,4.868812375003472,0.16638558311387897,5.035197958117351,2189,9,449.5962940035123,54.09122492205438,43,
oMLX-SpecPrefill-26B,PP_heavy,2,4.477808959083632,0.1659776249434799,4.6437865840271115,2189,9,488.8551566183769,54.224176319336756,43,
oMLX-SpecPrefill-26B,PP_heavy,3,0.5519755419809371,0.1508059580810368,0.7027815000619739,2189,9,3965.755424858297,59.67933969269156,43,
oMLX-SpecPrefill-26B,balanced,1,1.2419501249678433,12.404043874936178,13.645993999904022,590,800,475.05933462124847,64.49509595951153,3764,
oMLX-SpecPrefill-26B,balanced,2,1.2744014170020819,12.421453000046313,13.695854417048395,590,800,462.9624481962077,64.4047037006876,3764,
oMLX-SpecPrefill-26B,balanced,3,1.2455118750222027,12.397378582973033,13.642890457995236,590,800,473.7008227958345,64.52977092260022,3764,
oMLX-SpecPrefill-26B,TG_heavy,1,0.30369783309288323,30.6776436669752,30.981341500068083,62,2000,204.1502877007287,65.19405537502284,8518,
oMLX-SpecPrefill-26B,TG_heavy,2,0.31602937518619,30.787380458787084,31.103409833973274,62,2000,196.18429446146405,64.9616813836195,8518,
oMLX-SpecPrefill-26B,TG_heavy,3,0.30404162500053644,30.713249624939635,31.017291249940172,62,2000,203.91944688458565,65.11847572052321,8518,
oMLX-SpecPrefill-e4b,WARMUP_PROBE,0,6.490416791988537,0.016166708199307323,6.5066022500395775,28,1,4.314052686810788,61.855511194470985,,
oMLX-SpecPrefill-e4b,PP_heavy,1,2.377716625109315,0.1479312910232693,2.525647916132584,2185,9,918.9488675504151,60.83905533268359,43,
oMLX-SpecPrefill-e4b,PP_heavy,2,1.8938412079587579,0.13656762498430908,2.030408832943067,2185,9,1153.7398124075366,65.90141697956638,43,
oMLX-SpecPrefill-e4b,PP_heavy,3,0.2542274999432266,0.14015012490563095,0.3943776248488575,2185,9,8594.664229825446,64.21685322121606,43,
oMLX-SpecPrefill-e4b,balanced,1,0.6973314580973238,10.978839708957821,11.676171167055145,586,800,840.3464280801373,72.86744512238998,3638,
oMLX-SpecPrefill-e4b,balanced,2,0.1790050829295069,11.028430999955162,11.20743608288467,586,800,3273.6500573604926,72.53978376464,3638,
oMLX-SpecPrefill-e4b,balanced,3,0.1745690000243485,11.011348958825693,11.185917958850041,586,800,3356.8388426253573,72.65231562376316,3638,
oMLX-SpecPrefill-e4b,TG_heavy,1,0.13169258297421038,16.611192125128582,16.742884708102793,58,1228,440.41964012019,73.92606086003562,6226,
oMLX-SpecPrefill-e4b,TG_heavy,2,0.1408404998946935,16.598841834114864,16.739682334009558,58,1228,411.8133636515535,73.98106520155798,6226,
oMLX-SpecPrefill-e4b,TG_heavy,3,0.13305258308537304,16.634590917034075,16.767643500119448,58,1228,435.9178803975896,73.82207390158956,6226,
oMLX-NoSpec-e4b,WARMUP_PROBE,0,4.571067708078772,0.015948000131174922,4.587034166092053,28,1,6.125483538673824,62.7037867930045,,
oMLX-NoSpec-e4b,PP_heavy,1,0.24287045816890895,0.13720179186202586,0.3800722500309348,2185,9,8996.565562042953,65.59681092977753,43,
oMLX-NoSpec-e4b,PP_heavy,2,0.24666954088024795,0.13958587497472763,0.3862554158549756,2185,9,8858.00489271095,64.47643790340156,43,
oMLX-NoSpec-e4b,PP_heavy,3,0.25511462497524917,0.13732833391986787,0.39244295889511704,2185,9,8564.77750035689,65.53636633538108,43,
oMLX-NoSpec-e4b,balanced,1,0.18698158394545317,11.00173341599293,11.188714999938384,586,800,3133.9984806789835,72.71581393138112,3638,
oMLX-NoSpec-e4b,balanced,2,0.17162879114039242,11.054918417008594,11.226547208148986,586,800,3414.3455541829912,72.36597954166324,3638,
oMLX-NoSpec-e4b,balanced,3,0.1703906669281423,11.041167125105858,11.211557792034,586,800,3439.155504022587,72.4561082116878,3638,
oMLX-NoSpec-e4b,TG_heavy,1,0.131255584070459,16.66317845787853,16.79443404194899,58,1228,441.885961734513,73.69542390151793,6226,
oMLX-NoSpec-e4b,TG_heavy,2,0.13214999996125698,16.630977291148156,16.763127291109413,58,1228,438.8951949830051,73.83811417105376,6226,
oMLX-NoSpec-e4b,TG_heavy,3,0.13168716710060835,16.655439040856436,16.787126207957044,58,1228,440.4377531767259,73.72966854777401,6226,
oMLX-NoSpec-26B,WARMUP_PROBE,0,11.84139695810154,0.014701874926686287,11.85611795890145,32,1,2.702383858359425,68.01853538998878,,
oMLX-NoSpec-26B,PP_heavy,1,1.0167042079847306,0.15505724982358515,1.1717614578083158,2189,9,2153.0352513627795,58.0430777034912,43,
oMLX-NoSpec-26B,PP_heavy,2,0.56325533404015,0.1492742500267923,0.7125295840669423,2189,9,3886.3369198807504,60.291711386154326,43,
oMLX-NoSpec-26B,PP_heavy,3,0.5263528749346733,0.15059500001370907,0.6769478749483824,2189,9,4158.806960580734,59.76294033122418,43,
oMLX-NoSpec-26B,balanced,1,1.2392706670798361,12.417222457937896,13.656493125017732,590,800,476.0864722072786,64.42664635428095,3764,
oMLX-NoSpec-26B,balanced,2,1.2521542920731008,12.422892125090584,13.675046417163685,590,800,471.18793884672147,64.39724276315944,3764,
oMLX-NoSpec-26B,balanced,3,1.2395262911450118,12.38742854190059,13.626954833045602,590,800,475.98829021608555,64.58160362289823,3764,
oMLX-NoSpec-26B,TG_heavy,1,0.3013689999934286,30.668184791924432,30.96955379191786,62,2000,205.72786186154488,65.2141629369157,8518,
oMLX-NoSpec-26B,TG_heavy,2,0.2990925828926265,30.65379995899275,30.952892541885376,62,2000,207.2936727496778,65.24476582595008,8518,
